,path,valeur moyenne (centre),valeur max (centre),valeur min (centre),valeur moyenne (cote),valeur max (cote),valeur min (cote)
0,Brebis 7 (40560)\J-7\,,,,,,
1,Brebis 7 (40560)\J-7\,93.64986419677734,183.0,11.0,94.41416931152344,151.0,11.0
2,Brebis 7 (40560)\J-7\,86.96122741699219,167.0,11.0,113.9146957397461,640.0,11.0
3,Brebis 7 (40560)\J-7\,54.32594299316406,141.0,11.0,51.48869323730469,79.0,11.0
4,Brebis 7 (40560)\J-7\,77.46415710449219,122.0,13.0,89.71952056884766,130.0,16.0
5,Brebis 7 (40560)\J-7\,85.74312591552734,195.0,13.0,42.86121368408203,55.0,11.0
6,Brebis 7 (40560)\J-7\,164.85366821289062,652.0,10.0,86.52103424072266,176.0,16.0
7,Brebis 8 (40141)\J-7\,,,,,,
8,Brebis 8 (40141)\J-7\,41.391845703125,65.0,14.0,49.186119079589844,54.0,18.0
9,Brebis 8 (40141)\J-7\,52.26930236816406,126.0,13.0,38.58116149902344,56.0,17.0
10,Brebis 8 (40141)\J-7\,37.38682174682617,57.0,15.0,52.46306228637695,54.0,24.0
11,Brebis 8 (40141)\J-7\,33.72039794921875,85.0,11.0,52.607479095458984,90.0,14.0
12,Brebis 8 (40141)\J-7\,38.25115203857422,84.0,11.0,49.410186767578125,76.0,43.0
13,Brebis 8 (40141)\J-7\,50.1834602355957,188.0,16.0,67.74667358398438,52.0,22.0
14,Brebis 8 (40141)\J-7\,35.19804382324219,58.0,9.0,58.90076446533203,104.0,34.0
15,Brebis 9 (40295)\J-7\,,,,,,
16,Brebis 9 (40295)\J-7\,55.624935150146484,84.0,9.0,47.05458450317383,35.0,9.0
17,Brebis 9 (40295)\J-7\,129.99307250976562,423.0,86.0,114.59814453125,111.0,14.0
18,Brebis 9 (40295)\J-7\,48.86273956298828,101.0,10.0,42.95969009399414,75.0,10.0
19,Brebis 9 (40295)\J-7\,49.82866287231445,93.0,11.0,26.885543823242188,63.0,11.0
20,Brebis 9 (40295)\J-7\,41.53559875488281,102.0,1.0,26.950098037719727,17.0,10.0
21,Brebis 9 (40295)\J-7\,47.4542236328125,83.0,1.0,37.054710388183594,15.0,13.0
22,Brebis 9 (40295)\J-7\,47.069881439208984,104.0,11.0,41.92921447753906,36.0,9.0
